Sender,Subject,Date-Time,Content,Frequency
"""Angela Scioscia, Registration Coordinator""<contact@weforum.org>",World Economic Forum - Annual Meeting 2001 - CORRIGENDUM,"Tue, 12 Sep 2000 01:55:00 -0700 (PDT)","To the attention of:
Dr Kenneth L. Lay
Chairman and Chief Executive Officer
ENRON CORPORATION

Dear Dr Lay,

An error concerning the cancellation policy has occurred in the Logistical 
Details sheet we have been sending with the Annual Meeting confirmation 
letter.
Please refer instead to the information given on the registration form, 
copied below for your convenience.

Cancellation

There is no cancellation fee for the Annual Meeting itself if the 
registration is cancelled before 15 September 2000. Thereafter cancellation 
fees are as follows:
- From 16 September to 15 November 2000: 10%
- From 16 November to 31 December 2000: 50%
- From 1 January 2001 onwards: 100%

Cancellations must be received in written form.

Please accept our apologies for this error.


","[('From', 3), ('cancellation', 3), ('Annual', 2)]"
"""Jeanette Goodman"" <jngoodman@ncpa.org>",i2Technologies/Social Security Advertising Campaign,"Tue, 12 Sep 2000 01:55:00 -0700 (PDT)","Ken:

Yesterday, we received a copy of your letter to Sanjiv Sidhu.  Thank you so
much for writing the letter to him on our behalf.   I will call today to see
if he has time to visit with us.

On another note, we will be starting our campaign on September 29th
(limited for the weekend, and saturation starting after the Olympics on
October 2nd) for two weeks.    We will continue to raise money, and go up
after that as the money comes in, but we felt the time is right to inform
the public on Social Security.

To update you on monies received from your appeal, they are; Willie
Alexander $500; Ben Love $1K; Gay Lauderdale, Williams, $25K; Bob
McNair,$25K.  Thank you for your help on this.

I will keep you posted.     Again, thank you.

Jeanette N. Goodman


 - winmail.dat","[('Thank', 2), ('received', 2), ('letter', 2)]"
George Wasaff,"Follow-up to Cindy Olson's Voice Mail Message Regarding Compaq's
 Involvement as a Potential Service Provider to Enron's EnHome Computer
 Employee Benefit Initiative","Fri, 18 Aug 2000 02:09:00 -0700 (PDT)","Ken:

One of the initiatives implemented at Global Strategic Souring since its 
formation in February is to leverage Enron's aggregated purchasing power to 
facilitate commercial development opportunities for the Business (EBS, EES, 
EFS, and etc.) Units.

Annually, Enron spends several million dollars with COMPAQ for servers, desk 
top computers, and lap top computers.  COMPAQ has also been selected as one 
of the potential candidates to service the EnHome program.  COMPAQ is also 
one of EBS's alliance partners.

Given the magnitude of Enron's relationship with COMPAQ, we have formed an 
intercompany team comprised of representatives from EBS, EES, EFS, Global 
Strategic Sourcing, and the EnHome Program.  In our most recent meeting the 
business units reported the following:

COMPAQ has failed to define its requirements for EBS services under the 
current alliance agreement between the companies.  COMPAQ has also denied EBS 
access to expertise and installations required for product refinement and 
implementation.  (Based on the feedback I have received, I question whether 
COMPAQ intends to honor the terms and conditions of its relationship with 
EBS).
EFS only provides building services currently to a couple of Compaq's 
installations.  
EES has been in discussions with COMPAQ for several months now.  Although we 
are progressing, it would appear that we are at an impasse on the language in 
the contract necessary to support the transaction.
On the EnHome program, COMPAQ has generally been unresponsive to our 
questions and concerns for clarification and/or additional information on 
their experience in operating this type of program.
The Widows 2000 Roll-out Contract literally has taken months to complete when 
it should have only been a matter of weeks.

Ken, based on what I am seeing day-to-day, I am concerned that COMPAQ has 
lost sight of the value of our total business and the value of a healthy, 
bidirectional relationship.

Therefore, specifically given the unresponsiveness to our most recent 
requests for clarification on the EnHome Program and our concerns regarding 
there ability to operate a program of this magnitude, I have requested that 
we reopen discussions with IBM and DELL.

I will keep you apprised of future developments.

George Wasaff","[('COMPAQ', 10), ('EBS', 6), ('I', 6)]"
Jan Rogers <rogers@taxfoundation.org>,Highlights of the Tax Foundation,"Tue, 12 Sep 2000 03:15:00 -0700 (PDT)","> On Thursday, September 7, Foundation economist Scott Moody testified
> before the Tax, Finance, and Exports Subcommittee of the House Committee
> on Small Business. Moody presented new estimates of the growing size and
> complexity of the Internal Revenue Code. He explained that even though the
> code's most notoriously complex provisions target large businesses, small
> businesses actually suffer disproportionately from compliance costs. (See
> full testimony at http://www.taxfoundation.org/testimony-compliance.html.)
> Also on the panel with Moody were Rep. Billy Tauzin (R-LA), Rep. Sununu
> (R-NH), Val Oveson; David Lifson; Pamela Olson; Martin Davidoff and Todd
> McCracken.
>
> Of course, that was the same week that the President vetoed estate tax
> repeal, a veto that the House tried in vain to override. Media outlets
> have turned to the Tax Foundation throughout the year for objective
> explanations of how the estate tax works and what repeal might mean, and
> this last legislative gasp brought one more round of inquiries. Most were
> the usual background calls from print reporters who need to fact-check
> their stories, but two radio interviews and one television interview also
> resulted:
>
> * On Friday, September 1, new Executive Director Scott Hodge gave a
> Radio America interview emphasizing the deleterious effects of the tax's
> high rates and monumental complexity.
> * On Thursday, September 7, Tax Foundation Chief Economist Patrick
> Fleenor gave two interviews on the federal estate and gift tax.  On a Cox
> Television segment broadcast across the nation Fleenor argued that these
> taxes discourage entrepreneurism and make it difficult for taxpayers to
> pass small businesses or family farms from one generation to the next.  In
> addition, he argued that they added significant complexity to the tax
> code.
> * Later, on WJR radio in Detroit, Fleenor filled in for House Majority
> Leader Dick Armey, who was called away for a vote, and took calls from
> listeners about the effects of the tax.  Here Fleenor reiterated his
> earlier remarks and argued that the adverse effects of the tax were
> particularly hard to justify in light of the fact that these taxes only
> accounted for about 1 percent of federal revenues.
>
> While spending a lot of time explaining the taxes that are levied after
> death, the staff was also researching the hidden taxes that the living pay
> every day, often without realizing it. Communications director Bill Ahern
> and economist Scott Moody helped ABC News Correspondent John Stossel
> prepare a story on all the taxes that a typical small business owner in
> Missouri faces throughout his workday. If the story is completed as
> scheduled, you can look for the upcoming segment on ABC's 20/20.
>
> If you have any questions or need additional information please contact me
> by phone at 202/661-4226, by e-mail at jrogers@taxfoundation.org or go to
> the Tax Foundation's web site at www.taxfoundation.org.
>
> ","[('tax', 6), ('taxes', 5), ('Foundation', 4)]"
Pam Benson,Invitation to Corporate Responsibility Task Force Meeting,"Tue, 12 Sep 2000 02:47:00 -0700 (PDT)","As part of our commitment to responsible business practices around the worl=
d,=20
we have recently launched a Corporate Responsibility function at Enron.  Th=
e=20
further development, implementation and ultimate success of this effort wil=
l=20
depend upon the participation and coordination of the business units and=20
regions.

To that end, we are launching a Corporate Responsibility task force, which =
I=20
will chair.  The roles of this task force will include developing and=20
coordinating social and environmental policies, strategy, and information=
=20
among the Enron business units; monitoring alignment of business activities=
=20
with corporate responsibility goals; and providing a forum for business uni=
ts=20
to share issues and develop a consistent strategy.  Kelly Kimberly, Senior=
=20
Vice President of Corporate Responsibility, and also of Marketing=20
Communication and Public Relations for Enron Broadband Services, will lead=
=20
the overall corporate responsibility initiative.  Additionally, because of=
=20
their interest and experience working on these issues, Paula Rieker, Mark=
=20
Schroeder and Rob Walls have already volunteered to represent their=20
respective business units on the task force.

As a leader at Enron, I am seeking your participation, support and=20
leadership.  I am asking the head of each business unit or major corporate=
=20
function to either participate personally or designate a VP-or-higher level=
=20
individual to serve as a member of the task force.  I look forward to your=
=20
organization=01,s participation.

The first task force meeting will be in Houston from 10:00 a.m. to 2:00 p.m=
. =20
Please choose one of the dates listed below, note your designee, and respon=
d=20
to Stacy Walker by Tuesday, September 19, by fax at 713-646-3248, or by pho=
ne=20
at 713-853-3583.  Additional details, such as an agenda and a meeting=20
location, will follow.

October 3 _____    October 25     _____

October 4 _____   Designee _________________________

Thanks.
Joe","[('business', 7), ('force', 5), ('task', 5)]"
"""Claude Smadja, Managing Director""<managingdirector@weforum.org>",Annual Meeting 2001 - September Update,"Tue, 12 Sep 2000 10:44:00 -0700 (PDT)","To the attention of:
Dr Kenneth L. Lay
Chairman and Chief Executive Officer
ENRON CORPORATION

Dear Dr Lay,

Further to our confirmation of your participation in Annual Meeting 2001, I 
am most pleased to send you the enclosed information which provides you with 
a first look at the concept of the programme as well as with practical 
details on your stay in Davos.

Should you need any assistance with your registration, please do not hesitate 
to get in touch with my colleague in charge of your sector at the Foundation.

With best personal regards,

Claude Smadja,
Managing Director
World Economic Forum



You will need Adobe Acrobat Reader to open the attached document.
If it is not yet installed on your system, you can download it at:
http://www.adobe.com/products/acrobat/readstep.html




 - September Update.pdf","[('Lay', 2), ('need', 2), ('Dr', 2)]"
Rob Bradley,Thursday Meeting on Winter Gas Prices,"Tue, 12 Sep 2000 04:01:00 -0700 (PDT)","Ken:

I have invited the following individuals to join us at the 3 pm Thursday 
meeting to review the draft of your Columbus speech on the natural gas 
situation.

Hamd Alhkayat--Hamd has replaced Andrew Miles in the rotation and will be 
helping me with your presentations as well as being the lead with Jeff's 
speeches.

Shelley Corman--Shelley has been developing messages for the current and 
anticipated gas situation and pipeline safety for the gas pipeline group.  
(The safety issue could come up in your Q&A.)

Stinson Gibner--Stinson is with the research group that has generated some of 
the more complex slides in your draft dealing with volatility and historic 
futures pricing.

Gil Muhl--Gil markets gas products to customers and is speaking at an AGA 
conference on the gas supply and price situation the day before your talk.  
His group is focusing on new products to help end-users with winter 
volatility.  I have asked Gil to send you his presentation as well for the 
meeting.

Back to your presentation (the draft slides of which I am delivering to you 
today), Dan Yergin thought it would be appropriate for you to give an 
overview of the situation as the ""teacher"" or ""professor.""  Some questions 
that you could address would include:

Where has the industry come from, and what lessons have we learned?

How is the business different today?

What public policy conclusions are implicit in this history?

I think our comparative advantage over the specialists who will be presenting 
before and after your keynote is that you have ""been there"" in the evolution 
of the natural gas market, and Enron is at the forefront of helping customers 
deal with price and supply uncertainty.  There is also a good opportunity to 
stress the need for new industry ""best practices"" (more hedging) and the 
right public policies to deal with this issue (from ""do no harm"" to expanding 
incentives in the market).

- Rob

","[('gas', 6), ('I', 4), ('situation', 4)]"
"""cscusack"" <cscusack@email.msn.com>",draft for CECP,"Tue, 12 Sep 2000 09:48:00 -0700 (PDT)","Rosalee, I've attached the draft letter from Mr.  Moore for Mr. Lay's review. 
Christine
 - Lay Enron Houston.doc","[('Lay', 2), ('Moore', 1), ('Enron', 1)]"
"""Alfredo Aguilar"" <alfredo@dvinci.net>","Inmmigration and Naturalization Service ""INS"" PROGRAM","Tue, 12 Sep 2000 09:00:00 -0700 (PDT)","Dear Mr. Lay:
?
I had the pleasure to meet you while I was the  Consul General of Guatemala=
=20
in Houston from 1996 to 2000. On April 1st.2000 I  resigned to that positio=
n=20
and was appointed President and CEO of ""D'VINCI  INTERNATIONAL=20
COMMUNICATIONS, INC"". and its sister company ""THE  HOUSTON INTERNATIONAL=20
BUSINESS CHANNEL"", both companies based in  Houston.
?
The Houston International Business Channel owns  cable Television Optel=20
channel 35, and is the only television company dedicated  to programming=20
business to business in the US, and simultaneously on-line via  our website=
=20
www.hibc.net.
?
The Houston International Business Channel has  been? appointed by the=20
Immigration and Naturalization Service Houston  District Office to develop =
a=20
series of 24 - 15 minute TV programs.=20
addressing key  issues to interest/concern to the international community t=
o=20
imform about the  necessary requirements to obtain the different Visas=20
necessary to enter the  United States.
?
We have already filmed a Interview of Mr.  Richard Cravener District Direct=
or=20
of the Houston INS District. This interview  will be the opening of these=
=20
programs, and each program will be host by Mr.  Cravener?
?
Following please find an outline of this  programs:
?



Programs Broadcast=20



The series will be aired on:

HIBC Channel 35, Optel Cable television system, Houston Texas.

HCCTV Channel 19, Warner Cable television system, Houston Texas.

With the implementation of new technology ""Digital Video  Streaming"", HIBC=
=20
simultaneously broadcast its programming on-line  at www.hibc.net.=20
Accordingly, HIBC  effectively broadcast to a global scope.
In order to maximize the exposure of these programs, HIBC will make them =
=20
available (on-demand) via the Internet for a period of 6 months.

Sponsorship Opportunities

The cost of sponsoring these programs is $15,000 per program. HIBC will =20
produce and broadcast two programs per month. Your sponsorship will include=
 =20
Intro and Outro credits (This program has been brought to you by  ENRON), a=
s=20
well as the insertion of two 30"" commercial spots during  each program. You=
=20
can sponsor the total of 24? programs,? or as  many months as you may=20
consider convenient?
=20
Transforming these programs into a marketing tool



You can maximize your investment in this sponsorship, and incorporated it a=
s =20
one of your strategic marketing tools by linking HIBC=01,s web site to your=
s. =20
In addition, you can also send video copies of these programs to your=20
business  associates and clients worldwide.=20

Editing a video introduction stated by you will enhance the delivery of thi=
s =20
powerful message.=20

I would like very much to meet with you to and discuss the possibilities of=
 =20
this program.

?Thank you for your time and attention. I look forward to have the =20
opportunity to personally meet with you and explained in more detail all th=
e =20
aspects of this program, in the mean time I remain as always,

?

Very Cordially yours,

Alfredo Aguilar G?lvez

President & CEO?

?

?

?","[('Houston', 8), ('programs', 8), ('I', 6)]"
"""Katz, Mayor"" <mayorkatz@ci.portland.or.us>",e-Katz: Invite to Classical Chinese Garden ribbon cutting,"Tue, 12 Sep 2000 10:25:00 -0700 (PDT)","To be removed from the ""E-Katz"" distribution list, simply reply to this
e-mail with your request.  If you have multiple e-mail addresses you use,
please include a name and/or company, otherwise we may not be able to locate
the correct entry to remove.  For more information on the Katz
administration, visit our website at http://www.ci.portland.or.us/mayor.


Mayor Vera Katz and the Portland Classical Chinese Garden cordially invite
you to help celebrate the opening of Lan Su Yuan,
the Garden of Awakening Orchids at the

Ribbon Cutting Ceremony

on Thursday, September 14, 2000
from 11:30 to 12:30 PM
at the corner of NW Third & Everett

After years of planning and months of meticulous construction, we are ready
to unveil what is sure to become one of Portland's proudest landmarks.

The ceremony will be hosted by Mayor Katz with honored guests His Excellency
Li Zhaoxing, Chinese Ambassador to the U.S., and Suzhou Mayor Chen Deming.

Following the ceremony, the garden will be open to the public at the regular
admission prices ($6.00 adults / $5.00 seniors and students).

We hope to see you there!

(If you have any questions, please call the Garden at 228-8131)


 <<...>>

","[('Katz', 3), ('Mayor', 3), ('Garden', 3)]"
"""Chowdhry, Abhiram"" <AChowdhr@USChamber.com>","U.S.-India Buisness Council; Daily Investment Update; September 1
 2, 2000","Wed, 13 Sep 2000 03:28:00 -0700 (PDT)","+ Strike by Department of Telecom Employees 
+ Finance Ministry considering super regulator for financial sector 

U.S.-India Business Council to host Indian Finace Minister Yashwant Sinha and 
U.S. Secretary of Commerce Norman Mineta for the U.S.-india Commercial 
Dialogue at the U.S. Chamber of Commerce on September 14, 2000 at 11 a.m.

Please contact Rick Rossow at rrossow@uschamber.com for further details on 
registering for this event

USIBC Daily News

September 12, 2000

Agro/Patents/Pharma 
Broadcasting/Entertainment 
September 10- Rupert Murdoch controlled Star TV is likely to take 25 per cent 
equity stake in Rajan Raheja's Hathway Cable Company to firm up its place in 
the fiercely competitive cable distribution market. Company sources confirmed 
the move, but declined to comment on the price involved. -The Indian Express

? 
Communications 
September 8- Communications networks in many parts of India were disrupted 
because of the indefinite strike by telecom employees seeking settlement of 
labor issues before corporatisation of the department of telecommunication 
services (DTS) -The Times Of India 

September 7- A section of cellular service providers, to ensure a level 
playing field, is planning to form a consortium to bid for the national 
long-distance (NLD) telephone license in India. -The Financial Express

?? ???? 
Economic/General News 
September 11- The rate of inflation, in India, rose to 5.94 per cent in the 
week ended August 26, due to a significant 5 per cent rise in electricity 
charges. - The Economic Times

Energy 
September 7- The Indian Petroleum Minister, Mr. Ram Naik, has appealed to the 
members of the Organization of Petroleum Exporting Countries (OPEC) to 
increase the production levels of crude oil so that prices are brought down 
to sustainable levels.? -Business Line

Financial: Trade & Investment 
September 11- The finance ministry is actively considering the appointment of 
a super-regulator for the financial sector on the line of the Financial 
Services Authority (FSA) in the UK. The super-regulator will coordinate among 
the function-specific regulators. -Business Standard?? ???? 

Information Technology 
September 10- NASDAQ-listed Satyam Infoway today said it would invest up to 
Rs 160 crore ( $1,600,000,000 US) over the next one year to expand its 
Internet operations including rolling out new E-Commerce strategies in the 
country. -The Indian Express 

September 11- The online ad market in India is all set for a quantum leap. 
Revenues from the online advertising market are estimated to jump four-fold 
by this year, touching an impressive Rs 50 to Rs 60 crore ($500-$600 million 
US). -Business Line

September 11- Cybersquatters with devious intent may be in for some legal 
action soon. Nasscom, the Indian association of software Companies, says that 
it expects its recommendations on the Copyright Act be amended to include 
cybersquatting as a legal offence will be passed in the winter session of 
Parliament. -The Economic Times 

? 
Insurance and Finance 

Political/International 
September 10- The Indian government has set December 2000 as the deadline for 
review of all schemes being run by different government departments with a 
view to eliminating those programs that have lost relevance. -The Indian 
Express

??????? 
Sanctions 
September 11- The Indian steel industry is keeping their fingers crossed on 
the possibility of the United States imposing a fresh dumping duty on Indian 
steel. The primary concern is that other attractive export markets-like 
Canada and Mexico-may follow if the U.S. takes a decision. -Business Standard

Transportation/Infrastructure 
September 7- The Indian Inter Ministerial group (IMG) today decided to 
prohibit schedueled domestic airlines from picking up equity stake in Indian 
Airlines (IA), blocking any plan of Jet Airways or Sahara Airlines to take 
control of the state-owned domestic airline. -Business Line? ??? 

September 8- Members of the SkyTeam Alliance - Air France and Delta Air- have 
jointly decided to bid for a 26 per cent stake in the state-owned Air-India 
(A-I), after entering into a joint venture with an Indian partner. With the 
Indian partner, the joint venture Company will bid for 40 per cent of the 
government's equity in A-I. -The Times Of India

","[('September', 15), ('Indian', 13), ('The', 10)]"
BROWN_MARY_JO@LILLY.COM,Lilly Press Release,"Wed, 13 Sep 2000 02:42:00 -0700 (PDT)","                                                                              
                                                                    |--|
                                                                              
                                                                    |  |
                                                                              
                                                                    |  |
                                                                              
                                                                    |  |
                                                                              
                                                                    |--|
                                                                              
                                                                   |---|
                                                                              
                                                                   |   |
                                                                              
                                                                   |   |
                                                                              
                                                                   |   |
                                                                              
                                                                   | - |
                                                                              
                                                                   | 3 |
                                                                              
                                                                   | - |
                                                                              
                                                                   |   |
                                                                              
                                                                   |---|





             Eli Lilly and Company Launches Lillydiabetes.com
          New Web Site Designed To Help Patients Manage Diabetes

 Lillydiabetes.com is valuable resource for the 16 million Americans with
                                 diabetes


Eli Lilly and Company (NYSE: LLY) has launched lillydiabetes.com (

http://www.lillydiabetes.com), an interactive Web site designed to help the

16 million Americans with diabetes and their families understand and manage

the disease and its complications.  The Web site provides patients

information about diabetes and gives them tools to help manage their

disease.



""Diabetes is a progressive, potentially debilitating disease that requires

regular monitoring of blood sugar, blood pressure and weight, among other

things,"" said Doug Rude, e-commerce team leader, Eli Lilly and Company.

""Lillydiabetes.com can help empower patients and their families with the

information and tools necessary to manage their disease and live healthier

lives.""



Lillydiabetes.com has a number of features and tools to encourage

aggressive management of diabetes.  Because diabetes is a chronic,

progressive disease, it is important that patients closely track their

progress toward better blood-sugar control, as well as the development of

diabetes-related complications. Those who register with the site have

access

to customizable ""Measures of Control"" tools designed to help patients

monitor their diabetes and the complications that can arise.  The Measures

of Control tools include:



?    HbA1c Chart (blood-sugar control) ? Hemoglobin A1c test measures
average blood-sugar levels over a two to three-month period.  Each time an
HbA1c test is done, patients can enter the value and save it as a color
graph, which then can be used to track the patient's progress toward better
blood-sugar control.
?    Height and Weight Index ? Excess body fat can lead to insulin
resistance, a major factor in the development of type 2 diabetes.  This
tool helps patients calculate their body mass index, which is a measure of
body weight relative to height.  The Web site then provides a place to save
that information and chart progress toward desired weight.


?    Blood Pressure Chart ? A common complication of diabetes is high blood
pressure, which can lead to heart disease as well as signal other
potentially serious problems, such as diabetic kidney disease.  This tool
allows patients to enter their blood pressure levels, save them and chart
their progress.


Other resources found on lillydiabetes.com include:



Product Information ? With more than 75 years of innovation in diabetes

care, Eli Lilly and Company has developed many products for the treatment

of diabetes.  This section informs users about treatment options and the

latest breakthroughs.



Lilly Diabetes Today?  Newsletter ? Users can request to receive by e-mail

this newsletter, which provides information about the latest diabetes

developments and research, as well as recipe ideas and inspiring articles.



Patient Check List ? This section provides patients and family members with

a list of issues that should be addressed by their doctor, enabling them to

work with their physician to aggressively manage their disease.



Educational Resources ? Lillydiabetes.com provides information on an array

of diabetes-related topics.  Subject headings include:  About Diabetes,

Diabetes Management, Planning Meals, Diabetes Resources, and Diabetes

Products.



Lilly plans to add new tools and features to the site every 90 days.  The

new features will help equip patients, physicians and other health care

professionals with online tools that improve understanding of the disease

and delivery of care to patients.





Eli Lilly and Company

Lilly, a leading innovation-driven corporation, is developing a growing

portfolio of best-in-class pharmaceutical products by applying the latest

research from its own worldwide laboratories and from collaborations with

eminent scientific organizations. Headquartered in Indianapolis, Ind.,

Lilly provides answers ? through medicines and information ? for some of

the world's most urgent medical needs.



                                #     #   #






","[('diabetes', 11), ('patients', 10), ('disease', 9)]"
